***********************************************************
 Czas           Środek         Powierzchnia   dT           
 176.659678546  107.746716115  153.497176491  45.7504603755
 177.777777777  107.871894524  153.611600236  45.7397057121
 178.895877009  107.997636602  153.725474471  45.7278378688
 180.013976240  108.123930879  153.838805298  45.7148744199
 181.132075471  108.250765999  153.951598721  45.7008327226
 182.250174703  108.378130726  154.063860645  45.6857299188
 183.368273934  108.506013943  154.175596880  45.6695829367
 184.486373165  108.634404649  154.286813141  45.6524084919
 185.604472396  108.763291965  154.397515054  45.6342230897
 186.722571628  108.892665127  154.507708153  45.6150430262
 187.840670859  109.022513494  154.617397884  45.5948843902
 188.958770090  109.152826542  154.726589607  45.5737630652
 190.076869322  109.283593868  154.835288598  45.5516947304
 191.194968553  109.414805187  154.943500050  45.5286948632
 192.313067784  109.546450333  155.051229073  45.5047787406
 193.431167016  109.678519259  155.158480700  45.4799614411
 194.549266247  109.811002039  155.265259885  45.4542578464
 195.667365478  109.943888861  155.371571504  45.4276826435
 196.785464709  110.077170035  155.477420361  45.4002503263
 197.903563941  110.210835985  155.582811183  45.3719751974
 199.021663172  110.344877256  155.687748627  45.3428713702
 200.139762403  110.479284507  155.792237278  45.3129527707
 201.257861635  110.614048514  155.896281653  45.2822331392
 202.375960866  110.749160167  155.999886199  45.2507260325
 203.494060097  110.884610472  156.103055298  45.2184448254
 204.612159329  111.020390551  156.205793264  45.1854027130
 205.730258560  111.156491637  156.308104349  45.1516127124
 206.848357791  111.292905076  156.409992740  45.1170876645
 207.966457023  111.429622327  156.511462563  45.0818402359
 209.084556254  111.566634961  156.612517882  45.0458829212
 210.202655485  111.703934657  156.713162702  45.0092280443
 211.320754716  111.841513208  156.813400968  44.9718877607
 212.438853948  111.979362510  156.913236570  44.9338740592
 213.556953179  112.117474574  157.012673337  44.8951987638
 214.675052410  112.255841511  157.111715047  44.8558735357
 215.793151642  112.394455545  157.210365420  44.8159098749
 216.911250873  112.533309001  157.308628123  44.7753191224
 218.029350104  112.672394309  157.406506771  44.7341124617
 219.147449336  112.811704005  157.504004927  44.6923009211
 220.265548567  112.951230726  157.601126101  44.6498953748
 221.383647798  113.090967210  157.697873756  44.6069065456
 222.501747030  113.230906297  157.794251303  44.5633450059
 223.619846261  113.371040927  157.890262107  44.5192211803
 224.737945492  113.511364137  157.985909484  44.4745453467
 225.856044723  113.651869065  158.081196703  44.4293276383
 226.974143955  113.792548943  158.176126988  44.3835780456
 228.092243186  113.933397099  158.270703517  44.3373064178
 229.210342417  114.074406959  158.364929424  44.2905224649
 230.328441649  114.215572040  158.458807799  44.2432357591
 231.446540880  114.356885953  158.552341690  44.1954557366
 232.564640111  114.498342400  158.645534100  44.1471916996
 233.682739343  114.639935177  158.738387994  44.0984528176
 234.800838574  114.781658165  158.830906294  44.0492481291
 235.918937805  114.923505339  158.923091883  43.9995865435
 237.037037037  115.065470759  159.014947602  43.9494768427
 238.155136268  115.207548574  159.106476256  43.8989276825
 239.273235499  115.349733017  159.197680611  43.8479475944
 240.391334730  115.492018407  159.288563394  43.7965449873
 241.509433962  115.634399147  159.379127296  43.7447281487
 242.627533193  115.776869725  159.469374971  43.6925052468
 243.745632424  115.919424707  159.559309039  43.6398843316
 244.863731656  116.062058745  159.648932081  43.5868733367
 245.981830887  116.204766567  159.738246648  43.5334800806
 247.099930118  116.347542983  159.827255252  43.4797122686
 248.218029350  116.490382881  159.915960375  43.4255774937
 249.336128581  116.633281225  160.004364464  43.3710832389
 250.454227812  116.776233057  160.092469934  43.3162368776
 251.572327044  116.919233493  160.180279169  43.2610456762
 252.690426275  117.062277724  160.267794519  43.2055167945
 253.808525506  117.205361016  160.355018304  43.1496572878
 254.926624737  117.348478707  160.441952815  43.0934741082
 256.044723969  117.491626205  160.528600310  43.0369741055
 257.162823200  117.634798992  160.614963021  42.9801640292
 258.280922431  117.777992617  160.701043147  42.9230505296
 259.399021663  117.921202701  160.786842860  42.8656401590
 260.517120894  118.064424931  160.872364304  42.8079393732
 261.635220125  118.207655062  160.957609595  42.7499545328
 262.753319357  118.350888917  161.042580821  42.6916919042
 263.871418588  118.494122382  161.127280044  42.6331576616
 264.989517819  118.637351410  161.211709297  42.5743578872
 266.107617051  118.780572017  161.295870591  42.5152985736
 267.225716282  118.923780282  161.379765907  42.4559856241
 268.343815513  119.066972347  161.463397202  42.3964248545
 269.461914744  119.210144416  161.546766409  42.3366219938
 270.580013976  119.353292750  161.629875436  42.2765826860
 271.698113207  119.496413675  161.712726166  42.2163124908
 272.816212438  119.639503573  161.795320458  42.1558168850
 273.934311670  119.782558885  161.877660149  42.0951012633
 275.052410901  119.925576110  161.959747050  42.0341709401
 276.170510132  120.068551801  162.041582951  41.9730311499
 277.288609364  120.211482572  162.123169621  41.9116870488
 278.406708595  120.354365088  162.204508804  41.8501437155
 279.524807826  120.497196070  162.285602222  41.7884061524
 280.642907058  120.639972292  162.366451579  41.7264792866
 281.761006289  120.782690583  162.447058554  41.6643679711
 282.879105520  120.925347822  162.527424808  41.6020769855
 283.997204751  121.067940941  162.607551978  41.5396110375
 285.115303983  121.210466921  162.687441685  41.4769747634
 286.233403214  121.352922796  162.767095526  41.4141727296
 287.351502445  121.495305647  162.846515081  41.3512094331
 288.469601677  121.637612606  162.925701909  41.2880893030
 289.587700908  121.779840850  163.004657551  41.2248167009
 290.705800139  121.921987607  163.083383529  41.1613959222
 291.823899371  122.064050150  163.161881347  41.0978311969
 292.941998602  122.206025797  163.240152487  41.0341266906
 294.060097833  122.347911914  163.318198419  40.9702865055
 295.178197064  122.489705910  163.396020591  40.9063146809
 296.296296296  122.631405239  163.473620433  40.8422151945
 297.414395527  122.773007399  163.550999362  40.7779919632
 298.532494758  122.914509930  163.628158774  40.7136488437
 299.650593990  123.055910416  163.705100049  40.6491896337
 300.768693221  123.197206480  163.781824553  40.5846180726
 301.886792452  123.338395790  163.858333632  40.5199378421
 303.004891684  123.479476051  163.934628618  40.4551525673
 304.122990915  123.620445011  164.010710828  40.3902658176
 305.241090146  123.761300455  164.086581562  40.3252811071
 306.359189378  123.902040209  164.162242105  40.2602018957
 307.477288609  124.042662136  164.237693726  40.1950315897
 308.595387840  124.183164138  164.312937681  40.1297735428
 309.713487071  124.323544154  164.387975211  40.0644310566
 310.831586303  124.463800158  164.462807540  39.9990073813
 311.949685534  124.603930164  164.537435880  39.9335057168
 313.067784765  124.743932217  164.611861430  39.8679292130
 314.185883997  124.883804401  164.686085372  39.8022809708
 315.303983228  125.023544833  164.760108876  39.7365640428
 316.422082459  125.163151665  164.833933099  39.6707814336
 317.540181691  125.302623082  164.907559183  39.6049361010
 318.658280922  125.441957303  164.980988259  39.5390309565
 319.776380153  125.581152579  165.054221444  39.4730688657
 320.894479385  125.720207193  165.127259842  39.4070526493
 322.012578616  125.859119462  165.200104545  39.3409850837
 323.130677847  125.997887731  165.272756632  39.2748689015
 324.248777078  126.136510379  165.345217171  39.2087067920
 325.366876310  126.274985813  165.417487216  39.1425014023
 326.484975541  126.413312473  165.489567810  39.0762553374
 327.603074772  126.551488825  165.561459986  39.0099711611
 328.721174004  126.689513367  165.633164763  38.9436513966
 329.839273235  126.827384624  165.704683151  38.8772985268
 330.957372466  126.965101150  165.776016145  38.8109149953
 332.075471698  127.102661527  165.847164734  38.7445032065
 333.193570929  127.240064365  165.918129892  38.6780655267
 334.311670160  127.377308299  165.988912583  38.6116042842
 335.429769392  127.514391993  166.059513763  38.5451217700
 336.547868623  127.651314137  166.129934376  38.4786202383
 337.665967854  127.788073446  166.200175353  38.4121019073
 338.784067085  127.924668659  166.270237619  38.3455689592
 339.902166317  128.061098545  166.340122086  38.2790235414
 341.020265548  128.197361893  166.409829659  38.2124677663
 342.138364779  128.333457518  166.479361231  38.1459037124
 343.256464011  128.469384261  166.548717685  38.0793334241
 344.374563242  128.605140983  166.617899896  38.0127589132
 345.492662473  128.740726571  166.686908730  37.9461821584
 346.610761705  128.876139936  166.755745042  37.8796051063
 347.728860936  129.011380008  166.824409680  37.8130296716
 348.846960167  129.146445742  166.892903480  37.7464577380
 349.965059399  129.281336115  166.961227273  37.6798911582
 351.083158630  129.416050125  167.029381879  37.6133317543
 352.201257861  129.550586790  167.097368109  37.5467813187
 353.319357092  129.684945152  167.165186767  37.4802416143
